arm,run,k,seed,step,loss,exact_support
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,10000,0.0002893717610277,0.99951171875
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,12000,9.190222044708209e-05,0.99853515625
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,2000,0.5628821849822998,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,4000,0.5634922981262207,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,6000,0.5628397464752197,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,8000,0.5620547533035278,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,10000,0.5621724128723145,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,12000,0.5625507235527039,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,2000,0.5631585121154785,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,4000,0.5621819496154785,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,6000,0.4023072421550751,0.00048828125
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,8000,0.000542679335922,0.9990234375
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,10000,0.0005740897613577,0.99658203125
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,12000,0.000650065136142,0.99951171875
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,2000,0.5629777312278748,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,4000,0.562942624092102,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,6000,0.5615565776824951,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,8000,0.5627539753913879,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,10000,0.5626125335693359,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,12000,0.561190128326416,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,2000,0.5631099939346313,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,4000,0.5634893774986267,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,6000,0.563056230545044,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,8000,0.561800479888916,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,10000,0.5621867179870605,0.0
