task,family,width,d,split,cell,n,seeds,mean,std
mqar,gdn,64,2,validation,32,5,"[123, 1, 2, 3, 4]",45.334374999999994,23.86502890197679
mqar,gdn,64,2,validation,4,5,"[123, 1, 2, 3, 4]",99.96000000000001,0.06274950199005296
mqar,gdn,64,2,validation,64,5,"[123, 1, 2, 3, 4]",26.6965625,34.09063537345726
mqar,gdn,64,2,validation,8,5,"[123, 1, 2, 3, 4]",99.4175,0.6360645604024808
mqar,gdn,64,2,validation,macro,5,"[123, 1, 2, 3, 4]",71.2639375,12.585857635919796
mqar,gdn,64,3,validation,16,5,"[123, 1, 2, 3, 4]",88.7875,4.300374711144368
mqar,gdn,64,3,validation,32,5,"[123, 1, 2, 3, 4]",62.048750000000005,10.627042450748
mqar,gdn,64,3,validation,4,5,"[123, 1, 2, 3, 4]",99.915,0.06754628043053132
mqar,gdn,64,3,validation,64,5,"[123, 1, 2, 3, 4]",62.885000000000005,24.515251316662866
mqar,gdn,64,3,validation,8,5,"[123, 1, 2, 3, 4]",99.62,0.3547226028885147
mqar,gdn,64,3,validation,macro,5,"[123, 1, 2, 3, 4]",82.65125,7.611963230896197
mqar,gdn,64,4,validation,16,5,"[123, 1, 2, 3, 4]",90.33500000000001,1.7100495698224658
mqar,gdn,64,4,validation,32,5,"[123, 1, 2, 3, 4]",54.275625,17.62977583787582
mqar,gdn,64,4,validation,4,5,"[123, 1, 2, 3, 4]",99.89500000000001,0.12298373876248823
mqar,gdn,64,4,validation,64,5,"[123, 1, 2, 3, 4]",51.480000000000004,20.61666425420716
mqar,gdn,64,4,validation,8,5,"[123, 1, 2, 3, 4]",99.4125,0.2567829823021753
mqar,gdn,64,4,validation,macro,5,"[123, 1, 2, 3, 4]",79.07962500000001,6.542496721406082
mqar,mamba2,16,0,validation,16,5,"[123, 1, 2, 3, 4]",45.2325,9.553575696761397
mqar,mamba2,16,0,validation,32,5,"[123, 1, 2, 3, 4]",20.745,9.737518453127574
mqar,mamba2,16,0,validation,4,5,"[123, 1, 2, 3, 4]",83.19500000000001,4.962213467798415
mqar,mamba2,16,0,validation,64,5,"[123, 1, 2, 3, 4]",6.130625,5.067714521236373
mqar,mamba2,16,0,validation,8,5,"[123, 1, 2, 3, 4]",67.565,6.991252346682958
mqar,mamba2,16,0,validation,macro,5,"[123, 1, 2, 3, 4]",44.573625,7.176704343525308
mqar,mamba2,16,1,validation,16,5,"[123, 1, 2, 3, 4]",40.54125,4.446613880246406
mqar,mamba2,16,1,validation,32,5,"[123, 1, 2, 3, 4]",16.060000000000002,3.095022938879049
mqar,mamba2,16,1,validation,4,5,"[123, 1, 2, 3, 4]",81.93,1.6155881282059443
mqar,mamba2,16,1,validation,64,5,"[123, 1, 2, 3, 4]",3.4309374999999998,1.16450201434186
mqar,mamba2,16,1,validation,8,5,"[123, 1, 2, 3, 4]",64.44500000000001,3.2181929129559657
mqar,mamba2,16,1,validation,macro,5,"[123, 1, 2, 3, 4]",41.2814375,2.6654565414237688
mqar,mamba2,16,2,validation,16,5,"[123, 1, 2, 3, 4]",43.510000000000005,19.514231885825023
mqar,mamba2,16,2,validation,32,5,"[123, 1, 2, 3, 4]",27.44375,8.409748052390603
mqar,mamba2,16,2,validation,4,5,"[123, 1, 2, 3, 4]",86.00500000000001,3.7572596396842255
mqar,mamba2,16,2,validation,64,5,"[123, 1, 2, 3, 4]",13.19625,13.769096939072588
mqar,mamba2,16,2,validation,8,5,"[123, 1, 2, 3, 4]",73.1225,6.447924811518813
mqar,mamba2,16,2,validation,macro,5,"[123, 1, 2, 3, 4]",48.6555,4.184006545344354
mqar,mamba2,16,3,validation,16,5,"[123, 1, 2, 3, 4]",61.72625,8.113156512341545
mqar,mamba2,16,3,validation,32,5,"[123, 1, 2, 3, 4]",40.32875,11.084671329207849
mqar,mamba2,16,3,validation,4,5,"[123, 1, 2, 3, 4]",87.41499999999999,3.3266255424979874
mqar,mamba2,16,3,validation,64,5,"[123, 1, 2, 3, 4]",24.8440625,11.959830400674193
mqar,mamba2,16,3,validation,8,5,"[123, 1, 2, 3, 4]",75.84,5.481505837815007
mqar,mamba2,16,3,validation,macro,5,"[123, 1, 2, 3, 4]",58.0308125,7.445255018797002
mqar,mamba2,16,4,validation,16,5,"[123, 1, 2, 3, 4]",51.66375,8.156801226583866
mqar,mamba2,16,4,validation,32,5,"[123, 1, 2, 3, 4]",30.163125,8.893819011063947
mqar,mamba2,16,4,validation,4,5,"[123, 1, 2, 3, 4]",86.24,4.537434572531046
mqar,mamba2,16,4,validation,64,5,"[123, 1, 2, 3, 4]",14.357187499999998,10.265959707252774
mqar,mamba2,16,4,validation,8,5,"[123, 1, 2, 3, 4]",72.98,7.997238781291947
mqar,mamba2,16,4,validation,macro,5,"[123, 1, 2, 3, 4]",51.0808125,7.455699757044105
mqar,mamba2,32,0,validation,16,5,"[123, 1, 2, 3, 4]",86.6725,9.498294049130614
mqar,mamba2,32,0,validation,32,5,"[123, 1, 2, 3, 4]",59.985,13.746932790001283
mqar,mamba2,32,0,validation,4,5,"[123, 1, 2, 3, 4]",98.08500000000001,1.590459839166021
mqar,mamba2,32,0,validation,64,5,"[123, 1, 2, 3, 4]",22.756562499999998,7.492741148730215
mqar,mamba2,32,0,validation,8,5,"[123, 1, 2, 3, 4]",95.8125,3.5712064663079905
mqar,mamba2,32,0,validation,macro,5,"[123, 1, 2, 3, 4]",72.6623125,7.023152050650941
mqar,mamba2,32,1,validation,16,5,"[123, 1, 2, 3, 4]",88.39625,6.509229625116939
mqar,mamba2,32,1,validation,32,5,"[123, 1, 2, 3, 4]",58.963125,15.322494410536995
mqar,mamba2,32,1,validation,4,5,"[123, 1, 2, 3, 4]",98.92,0.5946112175194846
mqar,mamba2,32,1,validation,64,5,"[123, 1, 2, 3, 4]",22.447499999999998,9.495791921108232
mqar,mamba2,32,1,validation,8,5,"[123, 1, 2, 3, 4]",97.1125,1.8313459872454445
mqar,mamba2,32,1,validation,macro,5,"[123, 1, 2, 3, 4]",73.167875,6.576366478873659
mqar,mamba2,32,2,validation,16,5,"[123, 1, 2, 3, 4]",87.6575,5.198051016967808
mqar,mamba2,32,2,validation,32,5,"[123, 1, 2, 3, 4]",49.831875,10.087184251951209
mqar,mamba2,32,2,validation,4,5,"[123, 1, 2, 3, 4]",98.865,0.7942370552926945
mqar,mamba2,32,2,validation,64,5,"[123, 1, 2, 3, 4]",40.6515625,12.536852657686731
mqar,mamba2,32,2,validation,8,5,"[123, 1, 2, 3, 4]",96.9425,2.231689382508241
mqar,mamba2,32,2,validation,macro,5,"[123, 1, 2, 3, 4]",74.7896875,2.3459537451981842
mqar,mamba2,32,3,validation,16,5,"[123, 1, 2, 3, 4]",85.73750000000001,1.9861483218153664
mqar,mamba2,32,3,validation,32,5,"[123, 1, 2, 3, 4]",56.503125,8.00563918678968
mqar,mamba2,32,3,validation,4,5,"[123, 1, 2, 3, 4]",98.345,0.7567198953377648
mqar,mamba2,32,3,validation,64,5,"[123, 1, 2, 3, 4]",49.394375,16.284179483929908
mqar,mamba2,32,3,validation,8,5,"[123, 1, 2, 3, 4]",96.11,1.5204953962442658
mqar,mamba2,32,3,validation,macro,5,"[123, 1, 2, 3, 4]",77.218,5.2677469741431
mqar,mamba2,32,4,validation,16,5,"[123, 1, 2, 3, 4]",87.655,2.325673625533043
mqar,mamba2,32,4,validation,32,5,"[123, 1, 2, 3, 4]",67.908125,9.867496308508937
mqar,mamba2,32,4,validation,4,5,"[123, 1, 2, 3, 4]",98.775,0.345506874027132
mqar,mamba2,32,4,validation,64,5,"[123, 1, 2, 3, 4]",52.6409375,10.818961411586166
mqar,mamba2,32,4,validation,8,5,"[123, 1, 2, 3, 4]",97.3125,0.6294218577393056
mqar,mamba2,32,4,validation,macro,5,"[123, 1, 2, 3, 4]",80.8583125,4.406625164657969
mqar,mamba2,64,0,validation,16,5,"[123, 1, 2, 3, 4]",97.1875,1.073727444466238
mqar,mamba2,64,0,validation,32,5,"[123, 1, 2, 3, 4]",85.44375,3.8553857165577528
mqar,mamba2,64,0,validation,4,5,"[123, 1, 2, 3, 4]",99.69,0.21109831832584763
mqar,mamba2,64,0,validation,64,5,"[123, 1, 2, 3, 4]",51.1515625,4.757537579290296
mqar,mamba2,64,0,validation,8,5,"[123, 1, 2, 3, 4]",99.335,0.22610838109190406
mqar,mamba2,64,0,validation,macro,5,"[123, 1, 2, 3, 4]",86.5615625,2.002147053107149
mqar,mamba2,64,1,validation,16,5,"[123, 1, 2, 3, 4]",96.94375,1.7362349261404715
mqar,mamba2,64,1,validation,32,5,"[123, 1, 2, 3, 4]",85.645,6.5025057519918805
mqar,mamba2,64,1,validation,4,5,"[123, 1, 2, 3, 4]",99.635,0.36469165057621233
mqar,mamba2,64,1,validation,64,5,"[123, 1, 2, 3, 4]",51.46875,12.590927296879785
